toc_title,title,url,n_video_links,has_error,error
Online Training,,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-7A67B490-0000-4BCE-8D11-C0E237EBEDD6,0,True,"Message: 
Stacktrace:
	GetHandleVerifier [0x0xcaffc3+65331]
	GetHandleVerifier [0x0xcb0004+65396]
	(No symbol) [0x0xaa3f63]
	(No symbol) [0x0xaec99e]
	(No symbol) [0x0xaecd3b]
	(No symbol) [0x0xb353d2]
	(No symbol) [0x0xb11524]
	(No symbol) [0x0xb32bcb]
	(No symbol) [0x0xb112d6]
	(No symbol) [0x0xae0910]
	(No symbol) [0x0xae1784]
	GetHandleVerifier [0x0xef38b3+2439203]
	GetHandleVerifier [0x0xeeeae2+2419282]
	GetHandleVerifier [0x0xcd712a+225434]
	GetHandleVerifier [0x0xcc6e08+159096]
	GetHandleVerifier [0x0xccdd5d+187597]
	GetHandleVerifier [0x0xcb7ad8+96840]
	GetHandleVerifier [0x0xcb7c62+97234]
	GetHandleVerifier [0x0xca277a+9962]
	BaseThreadInitThunk [0x0x76b25d49+25]
	RtlInitializeExceptionChain [0x0x7718d2fb+107]
	RtlGetAppContainerNamedObjectPath [0x0x7718d281+561]"
Get Started,Get Started,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-C3DEF8F6-A9C0-496E-A554-8147B12A4EDA,1,False,
Revit Analytics Program,,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-3F42D45E-9FCF-4E8D-9B9E-41194E61F637,1,False,
Beginner Workflows,Beginner Workflows,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-A0BF49CF-024A-42C6-BDD7-2471BE5C8116,1,False,
Industry Workflows,Industry Workflows,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-817640B2-B537-40CD-9B51-FF2E5A9D7BA0,1,False,
Cloud Services,Cloud Services,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-EF3E9E21-7C9F-4B31-9087-A5307A20C7DC,1,False,
Creating Models,Creating Models,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-D4F1C903-5BA3-439A-8884-E12AC42DB472,1,False,
Opening Files,Opening Files,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-E7EB9EDD-4167-4F64-9688-D7E7B7934806,1,False,
Saving Files,Saving Files,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-A00D1018-6D25-40C9-8B58-D051830C59B0,1,False,
Licensing,,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-9AEF943B-ADC3-499A-A6A6-19ECCA72E545,1,False,
Sample Files,Sample Files,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-7B9C7A69-1083-406D-A01F-53D405C167F3,1,False,
Revit Fundamentals,Revit Fundamentals,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-03565843-BB48-4707-B54C-39D6E8E51880,2,False,
Essential Skills,Essential Skills,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-7F8CFFA4-22CB-43CA-84EA-332A27A0A0F0,2,False,
Autodesk for Government,Autodesk for Government,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-EB6FD318-5C32-475C-93F8-8DEB083CBCE0,2,False,
Tutorials,,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-9E9688A2-0645-4F8E-9D96-F1B76291A6C6,3,False,
Part 1: Create a Project and Add Levels,Part 1: Create a Project and Add Levels,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-0E2A8A8C-2F02-46A4-9761-A47601F0B17A,3,False,
Part 2: Create Walls,Part 2: Create Walls,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-30D3A26F-42FF-40FA-83D2-B43EA67F3ECD,3,False,
Part 3: Create a Terrain and Building Pad,Part 3: Create a Terrain and Building Pad,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-E325CDE7-5468-43C8-BEAD-EC5AF13231F0,3,False,
